===== FarPoint Technologies, Inc =====
===== Begin of Excel Workbook General Load =====
10/28/2021 - 19:12

Col	Row	Information
___	___	___________
		Import Excel File: D:\Work Space\sasi\Ref\169.xls

===== End of Excel Workbook General Load =====

===== Begin of Excel Sheet Load =====
		Import Sheet:  -1
6	57	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	57	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	57	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	57	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	58	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	58	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	58	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	58	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	59	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	59	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	59	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	59	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	60	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	60	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	60	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	60	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	61	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	61	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	61	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	61	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	62	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	62	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	62	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	62	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	63	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	63	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	63	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	63	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	64	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	64	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	64	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	64	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	65	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	65	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	65	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	65	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	66	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	66	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	66	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	66	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	67	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	67	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
